cid,smiles,action,action_gen
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,AGONIST,AGONIST
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,BINDER,OTHER
2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,ANTAGONIST,ANTAGONIST
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,BINDER,OTHER
3903,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N,PARTIAL AGONIST,PARTIAL AGONIST
3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,AGONIST,AGONIST
4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,AGONIST,AGONIST
4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,OTHER/UNKNOWN,OTHER
5523,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,AGONIST,AGONIST
5573,CCC(COC(=O)C1=CC(=C(C(=C1)OC)OC)OC)(C2=CC=CC=C2)N(C)C,AGONIST,AGONIST
5750,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl,AGONIST,AGONIST
8944,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,AGONIST,AGONIST
10100,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C,AGONIST,AGONIST
10101,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,AGONIST,AGONIST
10517,CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,AGONIST,AGONIST
10668,CC(C=C(C1=CC=CS1)C2=CC=CS2)N(C)C,AGONIST,AGONIST
13493,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,FULL AGONIST,AGONIST
13505,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
13810,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,AGONIST,AGONIST
14184,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,AGONIST,AGONIST
15130,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,AGONIST,AGONIST
15424,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.Cl,AGONIST,AGONIST
22267,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,FULL AGONIST,AGONIST
26721,CCCC(C)(C1C[C@@]23C=CC1(C4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)C)OC)O,AGONIST,AGONIST
33544,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)O.O,AGONIST,AGONIST
33741,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,AGONIST,AGONIST
39371,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl,AGONIST,AGONIST
41049,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,PARTIAL AGONIST,PARTIAL AGONIST
41693,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,AGONIST,AGONIST
42800,CCC1CN(C2C(C1C3=C(C2=O)C=CC(=C3)O)C)CC4CC4,FULL AGONIST,AGONIST
51263,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,AGONIST,AGONIST
60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,LIGAND,OTHER
60814,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC.Cl,AGONIST,AGONIST
60815,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,AGONIST,AGONIST
61996,CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
62156,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,AGONIST,AGONIST
62296,CCC(=O)N(C1CCN(CC1C)CCC2=CC=CS2)C3=CC=CC=C3,AGONIST,AGONIST
64761,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC.Cl,AGONIST,AGONIST
65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,AGONIST,AGONIST
68870,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,AGONIST,AGONIST
71420,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,AGONIST,AGONIST
83932,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.Cl,AGONIST,AGONIST
107847,C[C@H]([C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)[C@@H](CO)NC(=O)[C@H](CC2=CC=C(C=C2)O)N)O,FULL AGONIST,AGONIST
108135,CC[C@H](C)[C@@H](C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,FULL AGONIST,AGONIST
115077,C[C@@]12CCN([C@@H](C1(C)CCC(=O)CCC3CCCC3)CC4=C2C=C(C=C4)O)C,ANTAGONIST,ANTAGONIST
115335,CN([C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@@H]2C(=O)N)C(=O)[C@@H]3CCCN3C(=O)[C@H](CC4=CC=C(C=C4)O)N,FULL AGONIST,AGONIST
119029,CCN(CC)C(=O)C1=CC=C(C=C1)[C@H](C2=CC(=CC=C2)O)N3C[C@H](N(C[C@@H]3C)CC=C)C,AGONIST,AGONIST
197194,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3.Cl,AGONIST,AGONIST
431865,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
441278,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O,ANTAGONIST,ANTAGONIST
443363,CSCC[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,AGONIST,AGONIST
443406,CC[C@@]12CCN([C@@H](C1(C)C)CC3=C2C=C(C=C3)O)CC4(CC4)O,ANTAGONIST,ANTAGONIST
443408,CC(C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,ANTAGONIST,ANTAGONIST
518962,CCCC(C)(C1CC23C=CC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)C)OC)O,FULL AGONIST,AGONIST
621174,CCCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
644073,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,PARTIAL AGONIST,PARTIAL AGONIST
3033053,C[C@]12CCCCC[C@H]([C@@H]1N)CC3=C2C=C(C=C3)O,AGONIST,AGONIST
3082718,CN([C@H](CN1CCCC1)C2=CC=CC=C2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,AGONIST,AGONIST
4644453,COC1=C(C=C(C=C1)C2N(CCS2)S(=O)(=O)C3=CC=C(C=C3)Cl)Br,POSITIVE,OTHER
5284371,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O,FULL AGONIST,AGONIST
5284569,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4,AGONIST,AGONIST
5284570,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,AGONIST,AGONIST
5284594,C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O,ANTAGONIST,ANTAGONIST
5284595,C=CCN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,ANTAGONIST,ANTAGONIST
5284596,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,ANTAGONIST,ANTAGONIST
5284603,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,AGONIST,AGONIST
5284604,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,AGONIST,AGONIST
5288826,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,AGONIST,AGONIST
5311018,COC(=O)/C=C/C(=O)N[C@@H]1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O,ANTAGONIST,ANTAGONIST
5311058,C[C@H]([C@H]1C(=O)N[C@@H](C(SSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@@H](CC5=CC=CC=C5)N)(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N)O,ANTAGONIST,ANTAGONIST
5311080,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=C(C=C2)O)N)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N,FULL AGONIST,AGONIST
5311304,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O,PARTIAL AGONIST,PARTIAL AGONIST
5311356,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OCCN6CCOCC6)O[C@H]3[C@H](C=C4)O,ANTAGONIST,ANTAGONIST
5359271,CCOC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4C)[C@@H](O2)[C@H](C=C5)O)C=C1,AGONIST,AGONIST
