cid,smiles,action,action_gen
5748293,COC1=CC=CC2=C1C34CCN(C(C2)C3(CCC(=O)C4)OC)CC5CC5,PARTIAL AGONIST,PARTIAL AGONIST
44339409,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=CC=C6)O5)OCCCC7=CC=CC=C7,PARTIAL AGONIST,PARTIAL AGONIST
44339475,C1CC1CN2CCC34CC(=O)CCC3(C2CC5=C4C(=CC=C5)O)OCCCC6=CC=CC=C6,PARTIAL AGONIST,PARTIAL AGONIST
44339521,COC1=CC=CC2=C1C34CCN(C(C2)C3(CCC(=O)C4)OCCCC5=CC=CC=C5)CC6CC6,PARTIAL AGONIST,PARTIAL AGONIST
5359966,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)O)CC5CC5,PARTIAL AGONIST,PARTIAL AGONIST
9897164,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)CCCCCCCCC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1,PARTIAL AGONIST,PARTIAL AGONIST
11262815,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)CCCCCCCC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1,PARTIAL AGONIST,PARTIAL AGONIST
11308721,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)CCCCCCC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1,PARTIAL AGONIST,PARTIAL AGONIST
11364225,COC(=O)CCCCCCCCC(=O)OC1=CC2=C(CC3C4C2(CCCC4)CCN3CC5CCC5)C=C1,PARTIAL AGONIST,PARTIAL AGONIST
10462426,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)C=CC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1,PARTIAL AGONIST,PARTIAL AGONIST
10078468,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)CCC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1,PARTIAL AGONIST,PARTIAL AGONIST
71450932,CCCCNC12CC3=C(C4C15CCN(C2CC6=C5C(=C(C=C6)O)O4)C)NC7=CC=CC=C37,PARTIAL AGONIST,PARTIAL AGONIST
71452746,CCNC12CC3=C(C4C15CCN(C2CC6=C5C(=C(C=C6)O)O4)C)NC7=CC=CC=C37,PARTIAL AGONIST,PARTIAL AGONIST
10323346,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)NC(=O)CC7=CC=CC=C7)C8=CC=CC=C8N5,PARTIAL AGONIST,PARTIAL AGONIST
71458065,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)NC(=O)CCC7=CC=CC=C7)C8=CC=CC=C8N5,PARTIAL AGONIST,PARTIAL AGONIST
71461668,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)CCCC7=CC=CC=C7)C8=CC=CC=C8N5,PARTIAL AGONIST,PARTIAL AGONIST
10435156,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)NCCC7=CC=CC=C7)C8=CC=CC=C8N5,PARTIAL AGONIST,PARTIAL AGONIST
44305228,CCN(CC1CC1)C2CC3=C4C(=C(C=C3)O)OC5C4(C2(CCC5NC(=O)C(CCCN=C(N)N)N)O)C,PARTIAL AGONIST,PARTIAL AGONIST
