cid,smiles,action,action_gen
14072951,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NC(=O)COCC(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
14072964,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NCC(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
14072944,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NC(=O)CCCC(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
14072947,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NC(=O)C=CC(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
14072960,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NC(=O)C(CC(=O)O)N,PARTIAL AGONIST,PARTIAL AGONIST
14072940,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)NC(=O)CCC(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
44360029,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C2CNC(=O)CC(C(=O)NCC(=O)NC(C(=O)N2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)N,PARTIAL AGONIST,PARTIAL AGONIST
44359837,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C2CNC(=O)CC(C(=O)N3CCCC3C(=O)NC(C(=O)N2)CC4=CC=CC=C4)NC(=O)C(CC5=CC=C(C=C5)O)N,PARTIAL AGONIST,PARTIAL AGONIST
25075920,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)CNC(=O)C(CC5=CC=C(C=C5)O)N,PARTIAL AGONIST,PARTIAL AGONIST
25075921,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)CNC(=O)C(CC5=CC=C(C=C5)O)N,PARTIAL AGONIST,PARTIAL AGONIST
44421407,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=C(N5C)CCCC7,PARTIAL AGONIST,PARTIAL AGONIST
44421408,CCN1C2=C(CCCC2)C3=C1C4C56CCN(C(C5(C3)O)CC7=C6C(=C(C=C7)O)O4)C,PARTIAL AGONIST,PARTIAL AGONIST
44421409,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=C(N5CC8=CC=CC=C8)CCCC7,PARTIAL AGONIST,PARTIAL AGONIST
44421412,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=C(N5CC8CCCCC8)CCCC7,PARTIAL AGONIST,PARTIAL AGONIST
44421422,CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=C(N5CCC8=CC=CC=C8)CCCC7,PARTIAL AGONIST,PARTIAL AGONIST
71461665,CN1CCC23C4C5(CCC2(C1CC6=C3C(=C(C=C6)O)O4)CC5CNC(=O)C=CC7=CC=CC=C7)OC,PARTIAL AGONIST,PARTIAL AGONIST
71449133,CC1=CC=CC=C1C=CC(=O)NCC2CC34CCC2(C5C36CCN(C4CC7=C6C(=C(C=C7)O)O5)C)OC,PARTIAL AGONIST,PARTIAL AGONIST
71461666,CN1CCC23C4C5(CCC2(C1CC6=C3C(=C(C=C6)O)O4)CC5CNC(=O)C=CC7=CC=CC=C7Cl)OC,PARTIAL AGONIST,PARTIAL AGONIST
71459951,CN1CCC23C4C5(CCC2(C1CC6=C3C(=C(C=C6)O)O4)CC5CNC(=O)C=CC7=CC=C(C=C7)Cl)OC,PARTIAL AGONIST,PARTIAL AGONIST
71459952,CN1CCC23C4C5(CCC2(C1CC6=C3C(=C(C=C6)O)O4)CC5CNCC=CC7=CC=CC=C7)OC,PARTIAL AGONIST,PARTIAL AGONIST
71450927,CN1CCC23C4C5(CCC2(C1CC6=C3C(=C(C=C6)O)O4)CC5CNCC=CC7=CC=C(C=C7)Cl)OC,PARTIAL AGONIST,PARTIAL AGONIST
71454517,CC1=CC=CC=C1C=CC(=O)N2CC3C(C2)C4(C=CC35C6CC7=C8C5(C4OC8=C(C=C7)O)CCN6C)OC,PARTIAL AGONIST,PARTIAL AGONIST
71458064,CC1=CC=C(C=C1)C=CC(=O)N2CC3C(C2)C4(C=CC35C6CC7=C8C5(C4OC8=C(C=C7)O)CCN6C)OC,PARTIAL AGONIST,PARTIAL AGONIST
71456262,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=CC=C5)O4)NC(=O)C=CC6=CC=CC=C6Cl,PARTIAL AGONIST,PARTIAL AGONIST
24776399,CC(C)(C)C1CCC(CC1)N2CCC3(CC2)C4=C(CN(C3=O)C)C=CC=C4F,PARTIAL AGONIST,PARTIAL AGONIST
44590551,COCCNC1C(CCC2=CC=CC=C12)C3=CSC=C3,PARTIAL AGONIST,PARTIAL AGONIST
44417373,COC1=C2C3=C(CC4C5(C3(CCN4CC6CC6)C(O2)C(=O)CC5)NC(=O)C=CC7=CC=C(C=C7)Cl)C=C1,PARTIAL AGONIST,PARTIAL AGONIST
25257431,COC1=C2C3=C(CC4C5(C3(CCN4CC6CC6)C(O2)C(=O)CC5)OC(=O)C=CC7=CC=CC=C7)C=C1,PARTIAL AGONIST,PARTIAL AGONIST
9804450,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)O)CC5CCC5,PARTIAL AGONIST,PARTIAL AGONIST
44597831,CC(CCCCCCC(C)C(=O)OC1=CC2=C(CC3C4C2(CCCC4)CCN3CC5CCC5)C=C1)C(=O)O,PARTIAL AGONIST,PARTIAL AGONIST
44597714,CC(C)(CCCCCCC(C)(C)C(=O)OC1=CC2=C(CC3C4C2(CCCC4)CCN3CC5CCC5)C=C1)C(=O)OC6=CC7=C(CC8C9C7(CCCC9)CCN8CC1CCC1)C=C6,PARTIAL AGONIST,PARTIAL AGONIST
45483978,C=CCN1CCC23C4C1CC5=C2C(=C(C=C5)OC(=O)CCCCCCCCC(=O)OC6=CC7=C(CC8C9C7(CCCC9)CCN8CC1CCC1)C=C6)OC3CCC4,PARTIAL AGONIST,PARTIAL AGONIST
12191612,CN1CCC23C(C1)CCCC2OC4=C3C=CC=C4O,PARTIAL AGONIST,PARTIAL AGONIST
56664973,CCC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
9848990,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
54756989,CC(C)(C)CC(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
56658044,CC(CC1CC2CCC1C2)(C3CC45CCC3(C6C47CCN(C5CC8=C7C(=C(C=C8)O)O6)CC9CC9)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
24873473,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC(=CC=C6)OC,PARTIAL AGONIST,PARTIAL AGONIST
58443192,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC=C(C=C6)OC(C)C,PARTIAL AGONIST,PARTIAL AGONIST
71454361,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC=C(C=C6)O,PARTIAL AGONIST,PARTIAL AGONIST
71456106,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC=CC=C6O,PARTIAL AGONIST,PARTIAL AGONIST
71454362,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC(=C(C=C6)OC)OC,PARTIAL AGONIST,PARTIAL AGONIST
58443234,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC7=C(C=C6)OCO7,PARTIAL AGONIST,PARTIAL AGONIST
58443217,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC(=C(C=C6)OC)C,PARTIAL AGONIST,PARTIAL AGONIST
10086063,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)N,PARTIAL AGONIST,PARTIAL AGONIST
44240972,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC=CC=N6,PARTIAL AGONIST,PARTIAL AGONIST
44240971,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CC=NC=C6,PARTIAL AGONIST,PARTIAL AGONIST
57900041,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CC=C(C=C5)C6=CN=CC=C6,PARTIAL AGONIST,PARTIAL AGONIST
44241022,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=CN=C(C=C5)C6=CC=CC=C6,PARTIAL AGONIST,PARTIAL AGONIST
57900045,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)NCCC5=NC=C(C=C5)C6=CC=CC=C6,PARTIAL AGONIST,PARTIAL AGONIST
90664881,CC1CN(C2CC(CC1(C2)C3=CC(=CC=C3)O)N)CCCC4=CC=CC=C4.Cl.Cl,PARTIAL AGONIST,PARTIAL AGONIST
16082873,CC1CN(C2CC(CC1(C2)C3=CC(=CC=C3)O)N)CCCC4=CC=CC=C4,PARTIAL AGONIST,PARTIAL AGONIST
72713098,CC1CN(C2CC(CC1(C2)C3=CC(=CC=C3)O)NC)CCCC4=CC=CC=C4.Cl.Cl,PARTIAL AGONIST,PARTIAL AGONIST
72713099,CCNC1CC2CC(C1)(C(CN2CCCC3=CC=CC=C3)C)C4=CC(=CC=C4)O.Cl.Cl,PARTIAL AGONIST,PARTIAL AGONIST
72713100,CCCNC1CC2CC(C1)(C(CN2CCCC3=CC=CC=C3)C)C4=CC(=CC=C4)O.Cl.Cl,PARTIAL AGONIST,PARTIAL AGONIST
122182784,CCN1CCC23C4C5=NC6=CC=CC=C6C=C5CC2(C1CC7=C3C(=C(C=C7)O)O4)O.Cl,PARTIAL AGONIST,PARTIAL AGONIST
122182786,CCCN1CCC23C4C5=NC6=CC=CC=C6C=C5CC2(C1CC7=C3C(=C(C=C7)O)O4)O.Cl,PARTIAL AGONIST,PARTIAL AGONIST
122182788,C1CN(C2CC3=C4C15C2(CC6=CC7=CC=CC=C7N=C6C5OC4=C(C=C3)O)O)CCF.Cl,PARTIAL AGONIST,PARTIAL AGONIST
137646080,CN1CCC23C4C(=O)C(=CC5=CC=CC=C5)CC2(C1CC6=C3C(=C(C=C6)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
137655663,C1CN(C2CC3=C4C15C2(CC(=CC6=CC=CC=C6)C(=O)C5OC4=C(C=C3)O)O)CCC7=CC=CC=C7,PARTIAL AGONIST,PARTIAL AGONIST
129188443,CC(C)C1CCC(CC1)N2CCC(CC2)N3C=CC4=CC=CC=C43,PARTIAL AGONIST,PARTIAL AGONIST
5360621,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)OC6C(C(C(C(O6)C(=O)O)O)O)O,PARTIAL AGONIST,PARTIAL AGONIST
44390359,CN1CCC23C(C1CC4=C2C=C(C=C4)O)C=CC(C3OC)NC(=O)CC5C(C(C(C(O5)COCC6=CC=CC=C6)OCC7=CC=CC=C7)OCC8=CC=CC=C8)OCC9=CC=CC=C9,PARTIAL AGONIST,PARTIAL AGONIST
57412773,COC1=CC=CC(=C1)CNC2=CC3=C(CC4C5C3(CCCC5)CCN4CC6CCC6)C=C2,PARTIAL AGONIST,PARTIAL AGONIST
57412848,COC1=CC=C(C=C1)CNC2=CC3=C(CC4C5C3(CCCC5)CCN4CC6CCC6)C=C2,PARTIAL AGONIST,PARTIAL AGONIST
57412945,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)NCC5=CC=C(C=C5)O)CC6CCC6,PARTIAL AGONIST,PARTIAL AGONIST
44627787,COC1=CC=C(C=C1)CNC2=CC3=C(CC4C5C3(CCCC5)CCN4CC6CC6)C=C2,PARTIAL AGONIST,PARTIAL AGONIST
57412942,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)NCC5=CC(=CC=C5)[N+](=O)[O-])CC6CCC6,PARTIAL AGONIST,PARTIAL AGONIST
57412943,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)NCC5=CC=CC=C5O)CC6CCC6,PARTIAL AGONIST,PARTIAL AGONIST
57412946,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)NCC5=CC=CC=C5O)CC6CC6,PARTIAL AGONIST,PARTIAL AGONIST
57413038,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)NCC5=CC(=CC=C5)O,PARTIAL AGONIST,PARTIAL AGONIST
57412593,CN1CCC23C4C1CC5=C2C(=C(C=C5)NCC6=CC=CC=C6OC)OC3C(C=C4)O,PARTIAL AGONIST,PARTIAL AGONIST
57412595,CN1CCC23C4C1CC5=C2C(=C(C=C5)NCC6=CC(=CC=C6)O)OC3C(C=C4)O,PARTIAL AGONIST,PARTIAL AGONIST
102270008,CN1CCC23C4C5=C(CCC(=O)N5C)CC2(C1CC6=C3C(=C(C=C6)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
102270003,CN1CCC23C4C5=C(CCC(=O)N5CC6=CC=CC=C6)CC2(C1CC7=C3C(=C(C=C7)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
102270007,CN1CCC23C4C5=C(CC(C(=O)N5C)CCO)CC2(C1CC6=C3C(=C(C=C6)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
102270005,CN1CCC23C4C5=C(CC(C(=O)N5C)CCO)CC2(C1CC6=C3C(=C(C=C6)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
102270004,CN1CCC23C4C5=C(CC(C(=O)N5CC6=CC=CC=C6)CCO)CC2(C1CC7=C3C(=C(C=C7)O)O4)O,PARTIAL AGONIST,PARTIAL AGONIST
118726265,C1CN(CCC12C(=O)N(CN2C3=CC=CC=C3)CC(CNCC4=CC=CS4)O)CCC5=CC=CC=C5C6=CC=CS6,PARTIAL AGONIST,PARTIAL AGONIST
118726270,CC(C)(C)NCC(CN1CN(C2(C1=O)CCN(CC2)CCC3=CC=CC=C3C4=CC=CS4)C5=CC=CC=C5)O,PARTIAL AGONIST,PARTIAL AGONIST
3903,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N,PARTIAL AGONIST,PARTIAL AGONIST
41049,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,PARTIAL AGONIST,PARTIAL AGONIST
441278,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,PARTIAL AGONIST,PARTIAL AGONIST
644073,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
3033053,CC12CCCCCC(C1N)CC3=C2C=C(C=C3)O,PARTIAL AGONIST,PARTIAL AGONIST
5311304,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O,PARTIAL AGONIST,PARTIAL AGONIST
5359371,C=CCN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,PARTIAL AGONIST,PARTIAL AGONIST
5361092,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,PARTIAL AGONIST,PARTIAL AGONIST
21779964,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)O,PARTIAL AGONIST,PARTIAL AGONIST
24840146,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O.C(C(C(=O)O)O)(C(=O)O)O,PARTIAL AGONIST,PARTIAL AGONIST
50922685,CCC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
92042890,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)OCCOC7=C8C9=C(CC1C23C9(CCN1CC1CC1)C(O8)C(CC2)(C(C3)C(C)(C(C)(C)C)O)OC)C=C7)O4)CC1CC1)OC)O,PARTIAL AGONIST,PARTIAL AGONIST
118753644,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)N7C(=O)C8=CC=CC=C8C7=O,PARTIAL AGONIST,PARTIAL AGONIST
440586,CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)O)O)OC,PARTIAL AGONIST,PARTIAL AGONIST
5408233,CN1CCC23C=C(C(=O)C=C2C1CC4=C3C(=C(C=C4)OC)O)OC,PARTIAL AGONIST,PARTIAL AGONIST
5460042,CN1CCC23C=C(C(C=C2C1CC4=C3C(=C(C=C4)OC)O)O)OC,PARTIAL AGONIST,PARTIAL AGONIST
5324289,CN1CCC23C4C(=CC=C2C1CC5=C3C(=C(C=C5)OC)O4)OC,PARTIAL AGONIST,PARTIAL AGONIST
5284371,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,PARTIAL AGONIST,PARTIAL AGONIST
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,AGONIST,AGONIST
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,BINDER,OTHER
2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,ANTAGONIST,ANTAGONIST
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,BINDER,OTHER
3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,AGONIST,AGONIST
4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,AGONIST,AGONIST
4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,OTHER/UNKNOWN,OTHER
5523,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,AGONIST,AGONIST
5573,CCC(COC(=O)C1=CC(=C(C(=C1)OC)OC)OC)(C2=CC=CC=C2)N(C)C,AGONIST,AGONIST
5750,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl,AGONIST,AGONIST
8944,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,AGONIST,AGONIST
10100,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C,AGONIST,AGONIST
10101,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,AGONIST,AGONIST
10517,CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,AGONIST,AGONIST
10668,CC(C=C(C1=CC=CS1)C2=CC=CS2)N(C)C,AGONIST,AGONIST
13493,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,FULL AGONIST,AGONIST
13505,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
13810,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,AGONIST,AGONIST
14184,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,AGONIST,AGONIST
15130,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,AGONIST,AGONIST
15424,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.Cl,AGONIST,AGONIST
22267,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,FULL AGONIST,AGONIST
26721,CCCC(C)(C1C[C@@]23C=CC1(C4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)C)OC)O,AGONIST,AGONIST
33544,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)O.O,AGONIST,AGONIST
33741,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,AGONIST,AGONIST
39371,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl,AGONIST,AGONIST
41693,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,AGONIST,AGONIST
42800,CCC1CN(C2C(C1C3=C(C2=O)C=CC(=C3)O)C)CC4CC4,FULL AGONIST,AGONIST
51263,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,AGONIST,AGONIST
60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,LIGAND,OTHER
60814,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC.Cl,AGONIST,AGONIST
60815,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,AGONIST,AGONIST
61996,CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
62156,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,AGONIST,AGONIST
62296,CCC(=O)N(C1CCN(CC1C)CCC2=CC=CS2)C3=CC=CC=C3,AGONIST,AGONIST
64761,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC.Cl,AGONIST,AGONIST
65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,AGONIST,AGONIST
68870,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,AGONIST,AGONIST
71420,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,AGONIST,AGONIST
83932,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.Cl,AGONIST,AGONIST
