cid,smiles,moa
3903,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N,PARTIAL AGONIST
41049,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,PARTIAL AGONIST
441278,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O,PARTIAL AGONIST
644073,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,PARTIAL AGONIST
644073,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,PARTIAL AGONIST
3033053,C[C@]12CCCCC[C@H]([C@@H]1N)CC3=C2C=C(C=C3)O,PARTIAL AGONIST
5311304,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O,PARTIAL AGONIST
5359371,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,PARTIAL AGONIST
5361092,C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,PARTIAL AGONIST
21779964,CC1[C@@H]2CC3=C([C@@]1(CCN2CC4CC4)C)C=C(C=C3)O,PARTIAL AGONIST
24840146,C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O.C(C(C(=O)O)O)(C(=O)O)O,PARTIAL AGONIST
50922685,CCC(C)(C)[C@](C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,PARTIAL AGONIST
92042890,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)OCCOC7=C8C9=C(C[C@@H]1[C@@]23[C@]9(CCN1CC1CC1)[C@@H](O8)[C@@](CC2)([C@H](C3)[C@@](C)(C(C)(C)C)O)OC)C=C7)O4)CC1CC1)OC)(C(C)(C)C)O,PARTIAL AGONIST
118753644,C1C[C@]2(C3CC4=C5[C@@]2(CCN3CC6CC6)C([C@@H]1N7C(=O)C8=CC=CC=C8C7=O)OC5=C(C=C4)O)O,PARTIAL AGONIST
