PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4
5284596,Ki,0.98,nM,,,,,,,Ke,2.3,nM,,,
44336365,Ki,0.08,nM,,,,,,,Ke,0.22,nM,Kd,0.22,nM
44336365,Ki,1330,nM,,,,,,,Ke,0.22,nM,Kd,0.22,nM
45487174,Ki,0.3,nM,ED50,10,nM,Emax,101,%,,,,,,
45487174,Ki,275,nM,ED50,10,nM,Emax,101,%,,,,,,
11140284,Ki,27,nM,,,,,,,,,,,,
11140284,Ki,10000,nM,,,,,,,,,,,,
11129476,Ki,236,nM,,,,,,,,,,,,
11129476,Ki,7610,nM,,,,,,,,,,,,
12191612,Ki,0.65,nM,ED50,19,nM,Emax,35,%,,,,,,
12191612,Ki,8000,nM,ED50,19,nM,Emax,35,%,,,,,,
45487200,Ki,30,nM,,,,,,,,,,,,
45487200,Ki,10000,nM,,,,,,,,,,,,
45487206,Ki,24,nM,,,,,,,,,,,,
45487206,Ki,145,nM,,,,,,,,,,,,
12191611,Ki,8840,nM,,,,,,,,,,,,
12191611,Ki,10000,nM,,,,,,,,,,,,
9669,Ki,3.9,nM,,,,,,,,,,,,
5288826,,,,ED50,37,nM,Emax,86,%,,,,,,
5462471,,,,ED50,42,nM,Emax,100,%,,,,,,
