PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
443408,Ki,0.07,nM
9848990,Ki,0.09,nM
90644873,Ki,0.24,nM
90644874,Ki,0.24,nM
90644875,Ki,0.1,nM
