PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
137631847,Ki,167,nM
137632903,Ki,460,nM
137634403,Ki,463,nM
137638688,Ki,274,nM
137640860,Ki,211,nM
122589938,Ki,1065,nM
137642012,Ki,584,nM
137643506,Ki,398,nM
137646522,Ki,557,nM
137646782,Ki,234,nM
137647554,Ki,670,nM
137649850,Ki,259,nM
137651510,Ki,358,nM
137654001,Ki,523,nM
137655206,Ki,16.1,nM
137655599,Ki,537,nM
137656887,Ki,631,nM
137660781,Ki,851,nM
137660824,Ki,230,nM
137662178,Ki,192,nM
