PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
90645382,IC50,1000,nM
90645383,IC50,1000,nM
90645384,IC50,1000,nM
90645385,IC50,1000,nM
90645386,IC50,1000,nM
