PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1
5748293,EC50,20.3,nM,Emax,33,%
44339409,EC50,9.8,nM,Emax,43,%
44339472,EC50,10000,nM,,,
44339475,EC50,3.47,nM,Emax,35,%
44339521,EC50,1.97,nM,Emax,35,%
