PUBCHEM_CID,Standard_Type_1,Standard_Value_1,Standard_Units_1
44305228,IC50,28,nM
14072951,IC50,38,nM
14072964,IC50,37,nM
14072944,IC50,41,nM
14072947,IC50,6,nM
14072960,IC50,7.4,nM
14072940,IC50,56,nM
