PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4
9804450,Ki,0.23,nM,EC50,1.6,nM,Emax,50,%,IC50,20,nM,,,
9804450,Ki,0.23,nM,EC50,1.6,nM,Emax,50,%,Imax,50,%,,,
9897164,Ki,0.09,nM,EC50,1.3,nM,Emax,51,%,IC50,16,nM,,,
9897164,Ki,0.09,nM,EC50,1.3,nM,Emax,51,%,Imax,44,%,,,
11677662,Ki,0.71,nM,EC50,3,nM,Emax,110,%,IC50,,,,,
11677662,Ki,0.71,nM,EC50,3,nM,Emax,110,%,Imax,,,,,
44597831,Ki,0.46,nM,EC50,13,nM,Emax,25,%,IC50,,,Imax,48,%
44597828,Ki,1.7,nM,,,,,,,,,,,,
44597940,Ki,47,nM,,,,,,,,,,,,
44597830,Ki,8.6,nM,,,,,,,,,,,,
44597597,Ki,0.95,nM,EC50,7.1,nM,Emax,26,%,IC50,140,nM,,,
44597597,Ki,0.95,nM,EC50,7.1,nM,Emax,26,%,Imax,50,%,,,
44597714,Ki,0.47,nM,EC50,11,nM,Emax,40,%,IC50,81,nM,,,
44597714,Ki,0.47,nM,EC50,11,nM,Emax,40,%,Imax,50,%,,,
44597715,Ki,2.9,nM,,,,,,,,,,,,
45483978,Ki,0.43,nM,EC50,2,nM,Emax,34,%,IC50,25,nM,,,
45483978,Ki,0.43,nM,EC50,2,nM,Emax,34,%,Imax,73,%,,,
45483979,Ki,3.7,nM,,,,,,,,,,,,
