PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
5360621,Ki,12.9,nM
44390336,Ki,8.7,nM
44390346,Ki,5.4,nM
44390358,Ki,3.5,nM
44390359,Ki,0.5,nM
