PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
5497186,Ki,30.7,nM
46877633,Ki,20.8,nM
122182776,Ki,788,nM
122182777,Ki,133,nM
122182778,Ki,675,nM
122182780,Ki,1000,nM
122182782,Ki,1000,nM
122182784,Ki,670,nM
122182786,Ki,123,nM
122182788,Ki,422,nM
122182790,Ki,1000,nM
122182792,Ki,1000,nM
