PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
23542099,IC50,1190,nM
118726261,IC50,29,nM
118726262,IC50,110,nM
118726263,IC50,36,nM
118726264,IC50,47,nM
118726265,IC50,29,nM
118726266,IC50,80,nM
118726267,IC50,69,nM
118726268,IC50,103,nM
118726269,IC50,79,nM
118726270,IC50,57,nM
118726271,IC50,990,nM
118726272,IC50,540,nM
23542106,IC50,2600,nM
118726273,IC50,820,nM
