PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4,Standard_Type_5,Standard_Value_5,Standard_Units_5
5288826,Ki,1.1,nM,EC50,15.6,nM,EC50,316,nM,Activity,93,%,,,,,,
5360515,Ki,0.2,nM,,,,,,,,,,Ke,0.59,nM,Ke,5.4,nM
71449133,Ki,0.14,nM,EC50,0.25,nM,EC50,7.23,nM,Activity,44,%,,,,,,
71450925,Ki,1.69,nM,EC50,41.5,nM,EC50,160,nM,Activity,34,%,,,,,,
71450926,Ki,2.96,nM,EC50,14.3,nM,EC50,216,nM,Activity,26,%,,,,,,
71450927,Ki,0.68,nM,EC50,5.37,nM,EC50,62.5,nM,Activity,67,%,,,,,,
71454513,Ki,0.74,nM,EC50,15.1,nM,EC50,85.3,nM,Activity,52,%,,,,,,
71454514,Ki,0.19,nM,EC50,1.3,nM,EC50,11.3,nM,Activity,32,%,,,,,,
71454515,Ki,11.3,nM,EC50,139,nM,EC50,,,Activity,69,%,,,,,,
71454516,Ki,34.2,nM,EC50,149,nM,EC50,,,Activity,34,%,,,,,,
71454517,Ki,0.22,nM,EC50,2.59,nM,EC50,1.8,nM,Activity,68,%,,,,,,
71456262,Ki,0.15,nM,,,,,,,,,,,,,,,
71458063,Ki,0.23,nM,,,,EC50,15.9,nM,,,,Ke,0.33,nM,,,
71458064,Ki,0.48,nM,EC50,3.1,nM,EC50,14.4,nM,Activity,48,%,,,,,,
71459947,Ki,0.63,nM,EC50,10.6,nM,EC50,106,nM,Activity,47,%,,,,,,
71459948,Ki,2.61,nM,,,,EC50,,,,,,Ke,32.3,nM,,,
71459949,Ki,1.98,nM,EC50,11.7,nM,EC50,164,nM,Activity,62,%,,,,,,
71459950,Ki,12.8,nM,EC50,74.2,nM,EC50,,,Activity,27,%,,,,,,
71459951,Ki,0.18,nM,EC50,2.46,nM,EC50,35.4,nM,Activity,25,%,,,,,,
71459952,Ki,0.39,nM,EC50,5.51,nM,EC50,26.2,nM,Activity,93,%,,,,,,
71461663,Ki,11.8,nM,,,,EC50,,,,,,Ke,47.4,nM,,,
71461664,Ki,0.87,nM,EC50,26,nM,EC50,214,nM,Activity,24,%,,,,,,
71461665,Ki,0.25,nM,EC50,3.12,nM,EC50,59.2,nM,Activity,34,%,,,,,,
71461666,Ki,0.25,nM,EC50,0.3,nM,EC50,3.36,nM,Activity,38,%,,,,,,
9848990,Ki,1.5,nM,EC50,14.8,nM,EC50,,,Activity,18,%,,,,,,
