PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
3676358,Ki,10000,nM
46880462,Ki,10000,nM
46880463,Ki,10000,nM
46880498,Ki,10000,nM
46880566,Ki,10000,nM
46880567,Ki,10000,nM
46880568,Ki,10000,nM
46880569,Ki,10000,nM
46880628,Ki,10000,nM
46880629,Ki,10000,nM
46880630,Ki,10000,nM
46880631,Ki,10000,nM
46880672,Ki,10000,nM
46880673,Ki,10000,nM
46880674,Ki,10000,nM
